posted_at,product,post_no,price_usd,price_text,source,title,url
2026-08-17,gmktec-k12,96303,177.00,$177,title,[미니피시 특가] GMKtec K12 H255 ($177) M8 6650H ($149) G3s ($94) FIREBAT F1 H255 16G 512GB ($356) 등등 / 무료,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96303
2026-08-17,gmktec-k12,96307,177.66,$177.66,title,GMKtec K12 게이밍 미니 PC H255 베어본 ($177.66)무배,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96307
2026-08-17,gmktec-k12,96336,177.00,$177,title,"[특가] GMKtec K12($177), FIREBAT F1 H255 ($327), GMKtec G3S($94)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96336
2026-08-17,gmktec-k12,96339,177.00,$177,title,"[특가] GMKtec K12 ($177), 로지텍 MX 마스터 3S($56)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96339
2026-08-17,gmktec-k12,96343,177.00,$177,title,"[특가] GMKtec K12 ($177), FIREBAT F1 H255($327), GMKtec G3S($94)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96343
2026-08-17,gmktec-k12,96352,177.00,$177,title,[미니피시 특가] GMKtec K12 H255 ($177) G3s ($94) FIREBAT F1 H255 16G 512GB ($356) 등등 / 무료,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96352
2026-08-17,gmktec-k12,96353,202.00,$202,title,"[S급특가]에디파이어 MR3 2.0 스피커($43),GMKtec K12 H255($202),GMKtec G3S($94), 에디파이어 M60($56),M90($87)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96353
2026-08-17,gmktec-k12,96356,202.16,$202.16,title,GMKtec K12 게이밍 미니 PC H255 베어본 ($202.16)무배,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96356
2026-08-17,gmktec-k12,96357,202.00,$202,title,"[미니PC특가] GMKtec G3S($94), 비링크 S13 N150($265), K12 H255($202), FIREBAT R3 7430U($217), F1 H255($327)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96357
2026-08-17,gmktec-k12,96375,202.00,$202,title,[미니피시 특가] GMKtec G3s ($94) K12 H255 ($202) FIREBAT F1 H255 16G 512GB ($351) 등등 / 무료,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96375
2026-08-17,gmktec-k12,96383,177.00,$177,title,[미니피시 특가] GMKtec K12 H255 ($177) G3s ($94) FIREBAT F1 H255 16G 512GB ($356) 등등 / 무료,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96383
2026-08-17,gmktec-k12,96393,202.16,$202.16,title,GMKtec K12 게이밍 미니 PC H255 베어본 ($202.16)무배,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96393
2026-08-17,gmktec-k12,96400,177.66,$177.66,title,[특가] 유그린 300W 7in1 충전스테이션($105.55) GMKtec K12 미니PC($177.66) 에디파이어 M60($56.9) 외 9건,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96400
2026-08-17,gmktec-k12,96403,202.00,$202,title,"[특가] GMKtec K12 ($202), FIREBAT F1 H255($327), GMKtec G3S($94) 등",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96403
2026-08-17,gmktec-k12,96406,202.00,$202,title,미니PC 잔여코드) GMKtec G3S($94) S13 N150($265) K12 ($202) FIREBAT 7430U($217) F1($327),https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96406
2026-08-17,gmktec-k12,96420,177.00,$177,title,"[특가] GMKtec K12 ($177), FIREBAT F1 H255($327), GMKtec G3S($94)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96420
2026-08-17,gmktec-k12,96424,202.00,$202,title,[미니피시 특가] GMKtec G3s ($94) K12 H255 ($202) FIREBAT F1 H255 16G 512GB ($351) 등등 / 무료,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96424
2026-08-17,gmktec-k12,96441,177.00,$177,title,"[특가] GMKtec K12 ($177), FIREBAT F1 H255($327), GMKtec G3S($94)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96441
2026-08-18,gmktec-k12,96448,177.00,$177,title,"[S급특가]GMKtec K12 H255($177),에디파이어 MR3 2.0 스피커($43),GMKtec G3S($94), 에디파이어 M60($56),M90($87)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96448
2026-08-18,gmktec-k12,96462,177.00,$177,title,"[S급특가]GMKtec K12 H255($177),에디파이어 MR3 2.0 스피커($43),GMKtec G3S($94), 에디파이어 M60($56),M90($87)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96462
2026-08-18,gmktec-k12,96467,177.00,$177,title,"[특가]GMKtec K12 H255($177),에디파이어 MR3 2.0 스피커($43),GMKtec G3S($94), 에디파이어 M60($56),M90($87)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96467
2026-08-18,gmktec-k12,96486,202.00,$202,title,"[특가] GMKtec K12 ($202), FIREBAT F1 H255($327), GMKtec G3S($94) 등",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96486
2026-08-18,gmktec-k12,96540,177.00,$177,title,"[특가]GMKtec K12 H255($177),에디파이어 MR3 2.0 스피커($43),GMKtec G3S($94), 에디파이어 M60($56),M90($87)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96540
2026-08-19,gmktec-k12,96697,202.00,$202,title,"[재입고]올독큐브 iPlay 80($84),GMKtec M8 6650H($149), K12 ($202), FIREBAT F1 H255($351), GMKtec G3S($94)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96697
2026-08-19,gmktec-k12,96699,202.00,$202,title,"[재입고특가] GMKtec M8 6650H($149), K12 ($202), FIREBAT F1 H255($351), GMKtec G3S($94)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=96699
